name,party,state,district,legislature,profile_link
1 Alfaro Morales Maria Isabel,MORENA,Hidalgo,Dtto. 4,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=102
2 Almazán Burgos Karla Yuritzi,MORENA,México,Dtto. 38,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=163
3 Almazán Muñoz Odette Nayeri,MORENA,Puebla,Dtto. 8,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=216
4 Alvarado Murguía Rosa Maria,MORENA,Veracruz,Circ. 3,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=404
5 Ambrocio Gachuz José Guadalupe,MORENA,Morelos,Dtto. 5,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=183
6 Andazola Gómez Socorro Irma,MORENA,Baja California,Dtto. 4,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=7
7 Arellano Reyes Martha Nabetse,MORENA,Sinaloa,Circ. 1,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=339
8 Armendáriz Guerra Carmen Patricia,MORENA,Chiapas,Circ. 3,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=406
9 Arreola Martinez Martha Alicia,MORENA,Durango,Dtto. 3,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=573
10 Arriaga Rojas Justino Eugenio,MORENA,Guanajuato,Dtto. 8,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=82
11 Ascencio Ortega Reyna Celeste,MORENA,Michoacán,Circ. 5,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=491
12 Atanacio Luna Raymundo,MORENA,Puebla,Dtto. 7,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=215
13 Avila Flores Claudia Selene,MORENA,Ciudad de México,Circ. 4,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=458
14 Ayala Leyva Ana Elizabeth,MORENA,Sinaloa,Dtto. 2,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=241
15 Aysa Damas Carlos Miguel,MORENA,Campeche,Circ. 3,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=389
16 Baldenebro Arredondo Manuel de Jesus,MORENA,Sonora,Dtto. 1,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=247
17 Barajas García Martha ,MORENA,San Luis Potosí,Circ. 2,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=373
18 Barboza Llamas Maximiano ,MORENA,Jalisco,Circ. 1,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=332
19 Barrera Puc Rocío Natalí,MORENA,Yucatán,Circ. 3,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=414
20 Barrera Toledo Jorge Alberto,MORENA,Morelos,Dtto. 1,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=179
21 Batun Chulim Wilbert Alberto,MORENA,Quintana Roo,Dtto. 3,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=231
22 Bautista Bravo Juan Angel,MORENA,México,Dtto. 31,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=156
23 Bautista Pelaéz Maria del Carmen,MORENA,Oaxaca,Dtto. 9,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=207
24 Bonilla Herrera Raquel,MORENA,Veracruz,Dtto. 5,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=276
25 Borrego Adame Francisco Javier,MORENA,Coahuila,Dtto. 2,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=63
26 Briano Borunda Jesús Roberto,MORENA,Chihuahua,Circ. 1,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=338
27 Buenrostro Martín Luis Miguel,MORENA,Baja California,Dtto. 7,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=510
28 Bustamante Castellanos Adriana,MORENA,Chiapas,Dtto. 9,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=24
29 Cabada Alvidrez Hector Armando,MORENA,Chihuahua,Circ. 1,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=328
30 Candelario Figueroa Luz Adriana,MORENA,Jalisco,Dtto. 19,65,http://sitl.diputados.gob.mx/LXV_leg/curricula.php?dipt=124
