state,district,name,party,legislature
Aguascalientes,1,Humberto Ambriz Delgadillo,PRI,66
Aguascalientes,2,Mónica Becerra Moreno,PAN,66
Aguascalientes,3,Paulo Gonzalo Martínez López,PAN,66
Baja California,1,Alma Laura Ruiz López,MORENA,66
Baja California,2,Nancy Guadalupe Sánchez Arredondo,MORENA,66
Baja California,3,Claudia Moreno Ramírez,MORENA,66
Baja California,4,Rocío López Gorosave5​6​,MORENA,66
Baja California,5,Evangelina Moreno Guerra,MORENA,66
Baja California,6,Gilberto Herrera Solórzano,MORENA,66
Baja California,7,Armando Fernández Samaniego,MORENA,66
Baja California,8,Fausto Gallardo García,PV,66
Baja California,9,Araceli Brown Figueredo,MORENA,66
Baja California Sur,1,Manuel Cota Cárdenas,MORENA,66
Baja California Sur,2,Luis Armando Díaz,MORENA,66
Campeche,1,Elda Castillo Quintana,MORENA,66
Campeche,2,Gabriela Basto González,MORENA,66
Chiapas,1,Carlos Morelos Rodríguez,MORENA,66
Chiapas,2,Karina del Río Zenteno,MORENA,66
Chiapas,3,Alfredo Vázquez Vázquez,MORENA,66
Chiapas,4,Joaquín Zebadúa Alva,MORENA,66
Chiapas,5,Emilio Ramón Ramírez Guzmán,MORENA,66
Chiapas,6,Flor Esponda Torres,MORENA,66
Chiapas,7,Azucena Arreola Trinidad,MORENA,66
Chiapas,8,Roberto Albores Gleason,MORENA,66
Chiapas,9,Guillermo Santiago Rodríguez,MORENA,66
Chiapas,10,Deliamaría González Flandez,MORENA,66
Chiapas,11,Rosario del Carmen Moreno Villatoro,MORENA,66
Chiapas,12,Rosa Irene Urbina Castañeda,MORENA,66
Chiapas,13,Jorge Villatoro Osorio,MORENA,66
Chihuahua,1,Daniel Murguía Lardizábal,MORENA,66
Chihuahua,2,Maité Vargas Meraz,MORENA,66
Chihuahua,3,Lilia Aguilar Gil,MORENA,66
Chihuahua,4,Alejandro Pérez Cuéllar,MORENA,66
Chihuahua,5,Juan Antonio Meléndez Ortega,PRI,66
Chihuahua,6,María Angélica Granados Trespalacios,PAN,66
Chihuahua,7,Roberto Corral Ordóñez,MORENA,66
Chihuahua,8,Alejandro Domínguez Domínguez,PRI,66
Chihuahua,9,Noel Chávez Velázquez,PRI,66
Ciudad de México,1,César Cravioto Romero,MORENA,66
Ciudad de México,2,José Benavides Castañeda,MORENA,66
Ciudad de México,3,Gabriela Jiménez Godoy,MORENA,66
Ciudad de México,4,Dolores Padierna Luna,MORENA,66
