state,name,party,legislature
Aguascalientes,Martha Márquez Alvarado,PT,65
Aguascalientes,Juan Antonio Martín del Campo,PAN,65
Aguascalientes,Daniel Gutiérrez Castorena,MORENA,65
Baja California,Jaime Bonilla Valdez8​9​,PT,65
Baja California,Alejandra León Gastélum12​,MC,65
Baja California,Gina Cruz Blackledge,PAN,65
Baja California Sur,Ricardo Velázquez Meza14​,MORENA,65
Baja California Sur,Víctor Manuel Castro Cosío 15​,MORENA,65
Baja California Sur,Lucía Trasviña Waldenrath,MORENA,65
Baja California Sur,Guadalupe Saldaña Cisneros,PAN,65
Campeche,Arturo Moo Cahuich,MORENA,65
Campeche,Aníbal Ostoa Ortega,MORENA,65
Campeche,Cecilia Margarita Sánchez García,PRI,65
Campeche,Rocío Abreu Artiñano,MORENA,65
Chiapas,José Antonio Aguilar Castillejos,MORENA,65
Chiapas,Suple a Eduardo Ramírez Aguilar,MORENA,65
Chiapas,Por licencia de Sasil de León Villard,MORENA,65
Chiapas,Noé Castañón Ramírez,MC,65
Chihuahua,Bertha Caraveo Camarena,MORENA,65
Chihuahua,Rafael Espino de la Peña18​,MORENA,65
Chihuahua,Suple a Cruz Pérez Cuéllar,MORENA,65
Chihuahua,Gustavo Madero Muñoz,SP,65
Coahuila,Reyes Flores Hurtado,MORENA,65
Coahuila,Suple a Armando Guadiana Tijerina,MORENA,65
Coahuila,Eva Galaz Caletti,MORENA,65
Coahuila,Verónica Martínez García,PRI,65
Colima,Joel Padilla Peña,PT,65
Colima,Gricelda Valencia de la Mora,MORENA,65
Colima,Gabriela Benavides Cobos,PV,65
Durango,Alejandro González Yáñez,PT,65
Durango,Margarita Valdéz Martínez,MORENA,65
Durango,José Ramón Enríquez Herrera,MORENA,65
Guanajuato,Alejandra Reynoso Sánchez,PAN,65
Guanajuato,Erandi Bermúdez Méndez,PAN,65
Guanajuato,Martha Lucía Mícher Camarena,MORENA,65
Guerrero,Félix Salgado Macedonio,MORENA,65
Guerrero,Nestora Salgado,MORENA,65
Guerrero,Manuel Añorve Baños,PRI,65
Hidalgo,María Merced González González23​,MORENA,65
Hidalgo,Suple a Angélica García Arrieta24​,MORENA,65
Hidalgo,Navor Rojas Mancera,MORENA,65
Hidalgo,Suple a Julio Menchaca Salazar,MORENA,65
Hidalgo,Nuvia Mayorga Delgado,PV,65
Jalisco,Clemente Castañeda Hoeflich,MC,65
Jalisco,Ruth Alejandra López Hernández,MC,65
Jalisco,Suple a Verónica Delgadillo García,MC,65
Jalisco,María Antonia Cárdenas Mariscal,MC,65
México,Martha Guerrero Sánchez,MORENA,65
México,Suple a Delfina Gómez Álvarez27​,MORENA,65
México,Higinio Martínez Miranda,MORENA,65
México,Juan Zepeda Hernández,MC,65
Michoacán,Blanca Estela Piña Gudiño,MORENA,65
Michoacán,Cristóbal Arias Solís,MORENA,65
Michoacán,Antonio García Conejo,PRD,65
Morelos,Lucía Meza Guzmán,PRI,65
Morelos,Sergio Pérez Flores,MORENA,65
Morelos,Suple a Radamés Salazar Solorio29​,MORENA,65
Morelos,Ángel García Yáñez,PRI,65
Nayarit,Cora Cecilia Pinedo Alonso,PT,65
Nayarit,Rosa Elena Jiménez Arteaga7​,MORENA,65
Nayarit,Gloria Núñez Sánchez,MC,65
Nuevo León,Luis David Ortiz Salinas10​,MC,65
Nuevo León,Suple a Samuel García Sepúlveda11​,MC,65
Nuevo León,Indira Kempis Martínez13​,PRI,65
Nuevo León,Víctor Fuentes Solís,PAN,65
Oaxaca,Susana Harp Iturribarría,MORENA,65
Oaxaca,Adolfo Gómez Hernández,MORENA,65
Oaxaca,Suple a Salomón Jara Cruz,MORENA,65
Oaxaca,Raúl Bolaños-Cacho Cué,PV,65
Puebla,Jesús Encinas Meneses,MORENA,65
Puebla,Suple a Alejandro Armenta Mier,MORENA,65
Puebla,Nancy de la Sierra Arámburo,PRI,65
Puebla,Nadia Navarro Acevedo,PRI,65
Querétaro,Alfredo Botello Montes16​,PAN,65
Querétaro,Suple a Mauricio Kuri González 17​,PAN,65
Querétaro,Estrella Rojas Loreto,PAN,65
Querétaro,Suple a Guadalupe Murguía Gutiérrez,PAN,65
Querétaro,Gilberto Herrera Ruiz,MORENA,65
Quintana Roo,Marybel Villegas Canché,MORENA,65
Quintana Roo,José Luis Pech Várguez,MC,65
Quintana Roo,Mayuli Martínez Simón,PAN,65
San Luis Potosí,Graciela Gaitán Díaz,PV,65
San Luis Potosí,Suple a Leonor Noyola Cervantes,PV,65
San Luis Potosí,Marco Antonio Gama Basarte,MC,65
San Luis Potosí,Primo Dothé Mata,MORENA,65
Sinaloa,Raúl de Jesús Elenes Angulo,MORENA,65
Sinaloa,Suple a Rubén Rocha Moya 19​,MORENA,65
Sinaloa,Imelda Castro Castro,MORENA,65
Sinaloa,Mario Zamora Gastelum,PRI,65
Sonora,Lilly Téllez,PAN,65
Sonora,Arturo Bours Griffith,MORENA,65
Sonora,Suple a Alfonso Durazo Montaño20​,MORENA,65
Sonora,Sylvana Beltrones Sánchez,PRI,65
Tabasco,Adriana Manzanilla Fojaco,MORENA,65
Tabasco,Suple a Mónica Fernández Balboa,MORENA,65
Tabasco,Ovidio Salvador Peralta Suárez,MORENA,65
